sample_id,source_text,translation,sentence_type,relation_context
S001,Unstoppable Force,[DRY_RUN],UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S002,Nemean Gauntlets,[DRY_RUN],UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S003,Icarus Drifter Legs,[DRY_RUN],UI,- Eris Morn romantic_partner_of The Drifter (confidence: high)\n- The Drifter emotional_anchor_of Eris Morn (confidence: high)\n- Aunor Mahal temporary_ally_of The Drifter (confidence: high)\n- Lodi cooperates_with The Drifter (confidence: medium)
S004,Light and Dark Saga Exotics,[DRY_RUN],UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S005,Dreaming Spectrum,[DRY_RUN],UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S006,Ana: Black Box,[DRY_RUN],UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S007,Transmatter Components,[DRY_RUN],UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S008,The Empty Tank: Legend,[DRY_RUN],UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S009,Bounty Hunter: Tangled Shore,[DRY_RUN],UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S010,Swordmaster's Gauntlets,[DRY_RUN],UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S011,Court of Blades (Wrathborn): Expert,[DRY_RUN],UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S012,(Heroic) Dark Alliance,[DRY_RUN],UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S013,Traveler's Judgment 5,[DRY_RUN],UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S014,Blackletter Greaves,[DRY_RUN],UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S015,Event Ticket,[DRY_RUN],UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S016,Venom Unrivaled Strides,[DRY_RUN],UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S017,Markov Chain,[DRY_RUN],UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S018,Imponent III,[DRY_RUN],UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S019,Splicer Vandal's Armory,[DRY_RUN],UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S020,Phantasmic Fighter,[DRY_RUN],UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S021,The Ritual: Master,[DRY_RUN],UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S022,Vex Shock,[DRY_RUN],UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S023,Weapons Intel,[DRY_RUN],UI,- No explicit relation context found. Use neutral default tone for this sentence type.
S024,Cottontail Shell,[DRY_RUN],UI,- No explicit relation context found. Use neutral default tone for this sentence type.
