entity,entity_type,aliases
Ikora Rey,character,Ikora|Ikora Rey
Zavala,character,Zavala|Commander Zavala
Saint-14,character,Saint-14|Saint 14|Saint
Ana Bray,character,Ana|Ana Bray
Eris Morn,character,Eris|Eris Morn
Cayde-6,character,Cayde|Cayde-6
Crow,character,Crow|Uldren
Mara Sov,character,Mara|Mara Sov
Calus,character,Calus|Emperor Calus
Rhulk,character,Rhulk
The Witness,character,Witness|The Witness
Savathun,character,Savathun
Xivu Arath,character,Xivu Arath
Oryx,character,Oryx
Guardian,character,Guardian|Guardians
The Nine,faction,Nine|The Nine
Cabal,faction,Cabal
Fallen,faction,Fallen
Vanguard,faction,Vanguard
Hive,faction,Hive
